提示,#genre#
免费分享,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=SCECkK&tk=cl177bPI6scY
不要赞助,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=1dSBdq&tk=cl177bPI6scY
香港,#genre#
TVB生活台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=IMJIVt&tk=cl177bPI6scY
TVB星河(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=zCH5bp&tk=cl177bPI6scY
TVB功夫(国),http://kkk.888.3116598.xyz/api.php?n=HKTV&id=objF4T&tk=cl177bPI6scY
Now爆谷台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=M6MLFp&tk=cl177bPI6scY
Now星影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=cnA2zw&tk=cl177bPI6scY
Now华剧台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7cqJ4f&tk=cl177bPI6scY
Now剧集台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZWkfvZ&tk=cl177bPI6scY
Now紫金国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=wFhGuG&tk=cl177bPI6scY
CHC家庭影院,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7MO4Sn&tk=cl177bPI6scY
CHC动作电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Rxxwt5&tk=cl177bPI6scY
CHC影迷电影,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=AM7JpV&tk=cl177bPI6scY
极限电影台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=2ottU3&tk=cl177bPI6scY
凤凰卫视,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=k6gg1W&tk=cl177bPI6scY
凤凰资讯,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=qDC0WN&tk=cl177bPI6scY
凤凰香港,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=WXfBQZ&tk=cl177bPI6scY
翡翠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=JjNi4X&tk=cl177bPI6scY
翡翠台 backup,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=RIqlZC&tk=cl177bPI6scY
无线新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=N6c4gc&tk=cl177bPI6scY
TVB J 2,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=miDOwX&tk=cl177bPI6scY
明珠台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=se0fK7&tk=cl177bPI6scY
HOY资讯台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7c6oS4&tk=cl177bPI6scY
RHK 31,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=eCbWxe&tk=cl177bPI6scY
VIUTV1,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uDMkCU&tk=cl177bPI6scY
RHK 32,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ZkF7A8&tk=cl177bPI6scY
Viu6,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=68St51&tk=cl177bPI6scY
大陆,#genre#
中国|CCTV-1 综合 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=KuZT5v&tk=cl177bPI6scY
中国|CCTV-2 财经,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=ToLrGv&tk=cl177bPI6scY
中国|CCTV-3 综艺 HD,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=4LTufY&tk=cl177bPI6scY
中国|CCTV-4 中文国际,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=7al2E6&tk=cl177bPI6scY
中国|CCTV4 新闻台,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Oq7xfU&tk=cl177bPI6scY
